title,url,discounted_price,original_price,User-Agent
Fashion New Xiaomi MiBand Smart Bracelet Silicone Band Watch WWT-350920,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/fashion-new-xiaomi-miband-smart-bracelet-silicone-band-watch-p-139192.html,$16.90,$34.81 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Simplified Package Fashion New Xiaomi MiBand Smart Bracelet WWT-364568,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/simplified-package-fashion-new-xiaomi-miband-smart-bracelet-p-142799.html,$16.80,$17.76 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
DIY Google Cardboard VR 3D Glasses for iPhone Samsung Cellphone EPATH-334753,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/diy-google-cardboard-vr-3d-glasses-for-iphone-samsung-cellphone-p-135220.html,$2.79,$9.04 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Xiaomi Piston 3 Generation Edition Earphone Mic EEP-384792,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/xiaomi-piston-3-generation-edition-earphone-mic-p-147414.html,$18.45,$27.68 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
220-240V E27 18W 1650LM 56-LED SMD 5630 LED Corn Bulb HLT-363829,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/220-240v-e27-18w-1650lm-56-led-smd-5630-led-corn-bulb-p-142615.html,$3.13,$5.94 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Genuine Xiaomi Portable USB LED Mini Light Lamp EPATH-353455,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/genuine-xiaomi-portable-usb-led-mini-light-lamp-p-140066.html,$2.78,$6.11 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
5600mAh Candy Mobile Power Bank External Battery Charger EBTPH-334165,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/5600mah-candy-mobile-power-bank-external-battery-charger-p-135304.html,$4.60,$6.85 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
TW64 Smart Bracelet Wristband Bluetooth 4.0 Sleep Tracking Band WWT-378413,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/tw64-smart-bracelet-wristband-bluetooth-40-sleep-tracking-band-p-146285.html,$11.24,$27.69 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"TECLAST X98 Air 3G 9.7"" Dual OS Z3736F 2GB 64GB Tablet Phone ETC-375897",https://web.archive.org/web/20150508183443/http://www.tinydeal.com/teclast-x98-air-3g-97-dual-os-z3736f-2gb-64gb-tablet-phone-p-145198.html,$235.99,$311.27 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
2600mAh Perfume External Power Bank Charger A5 for Mobiles MBT-162716,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/2600mah-perfume-external-power-bank-charger-a5-for-mobiles-p-85075.html,$2.97,$3.66 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
